"Energy (MeV/amu)","Particle = photon_Depth = 0","Particle = electron_Depth = 0","Particle = positron_Depth = 0","Particle = mu-_Depth = 0","Particle = mu+_Depth = 0","Particle = pi-_Depth = 0","Particle = pi+_Depth = 0","Particle = neutron_Depth = 0","Particle = proton_Depth = 0","Particle = deuteron_Depth = 0","Particle = triton_Depth = 0","Particle = helion_Depth = 0","Particle = alpha_Depth = 0","Particle = Li6_Depth = 0","Particle = Li7_Depth = 0","Particle = Be8_Depth = 0","Particle = Be9_Depth = 0","Particle = B10_Depth = 0","Particle = B11_Depth = 0","Particle = C12_Depth = 0","Particle = C13_Depth = 0","Particle = N14_Depth = 0","Particle = N15_Depth = 0","Particle = O16_Depth = 0","Particle = O17_Depth = 0","Particle = F18_Depth = 0","Particle = F19_Depth = 0","Particle = Ne20_Depth = 0","Particle = Ne21_Depth = 0","Particle = Ne22_Depth = 0"
715.2148,2.385708e-11,3.046149e-13,2.837863e-13,2.377701e-7,4.15802e-7,0.00001830008,0.00003983361,0.03649716,1.534498e-9,3.555782e-10,2.968201e-10,8.107229e-11,1.083288e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762.7025,1.451349e-11,1.726658e-13,1.607649e-13,1.589478e-7,2.998024e-7,0.000009425639,0.00002624898,0.02269983,1.47828e-9,3.617059e-10,3.012611e-10,8.231534e-11,1.096598e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809.0546,9.619008e-12,9.83127e-14,9.136096e-14,1.05462e-7,2.17954e-7,0.000004782274,0.00001826704,0.01427966,1.42763e-9,3.668076e-10,3.052079e-10,8.340613e-11,1.107889e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855.0492,6.47448e-12,5.512345e-14,5.108948e-14,6.918442e-8,1.596857e-7,0.000002404215,0.00001338954,0.009015006,1.377672e-9,3.707085e-10,3.085847e-10,8.433845e-11,1.117369e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,4.353781e-12,3.051692e-14,2.81926e-14,4.528279e-8,1.189355e-7,0.000001250882,0.00001031246,0.005751051,1.336849e-9,3.750625e-10,3.117056e-10,8.521067e-11,1.126506e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944.913,2.872302e-12,1.637947e-14,1.507363e-14,2.904532e-8,8.914252e-8,7.187726e-7,0.000008228752,0.003670224,1.293048e-9,3.782736e-10,3.144942e-10,8.597932e-11,1.134076e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988.9814,1.862219e-12,8.566459e-15,7.847509e-15,1.864922e-8,6.819782e-8,4.677309e-7,0.00000671614,0.002362142,1.257311e-9,3.820052e-10,3.170715e-10,8.670164e-11,1.141619e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033.872,1.159792e-12,4.226253e-15,3.84926e-15,1.166237e-8,5.241777e-8,3.172695e-7,0.000005484305,0.001507817,1.217269e-9,3.846802e-10,3.194404e-10,8.735167e-11,1.147974e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078.632,6.950113e-13,1.972246e-15,1.783715e-15,7.259427e-9,4.094875e-8,2.188023e-7,0.00000447761,0.0009637374,1.184133e-9,3.881301e-10,3.217129e-10,8.798713e-11,1.154774e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122.773,3.994696e-13,8.673921e-16,7.778786e-16,4.518405e-9,3.244807e-8,1.533047e-7,0.000003658773,0.0006198077,1.147325e-9,3.903323e-10,3.23692e-10,8.852358e-11,1.160055e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166.335,2.176949e-13,3.536195e-16,3.139676e-16,2.832223e-9,2.608296e-8,1.079308e-7,0.000002982898,0.0004009313,1.11656e-9,3.933479e-10,3.256824e-10,8.906955e-11,1.165575e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1209.354,1.106589e-13,1.308621e-16,1.149087e-16,1.800369e-9,2.119274e-8,7.569059e-8,0.000002429589,0.0002607603,1.081055e-9,3.947354e-10,3.272882e-10,8.948847e-11,1.169782e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1251.862,5.119146e-14,4.292057e-17,3.737219e-17,1.175091e-9,1.739861e-8,5.283837e-8,0.000001972057,0.0001704639,1.05101e-9,3.966132e-10,3.288972e-10,8.991787e-11,1.174081e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1293.889,2.070608e-14,1.238942e-17,1.090796e-17,7.893924e-10,1.438285e-8,3.675817e-8,0.000001597064,0.0001119729,1.023063e-9,3.991319e-10,3.304321e-10,9.032722e-11,1.178702e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1335.459,6.815522e-15,3.531012e-18,3.346991e-18,5.477895e-10,1.193305e-8,2.523886e-8,0.000001289536,0.00007388877,9.893554e-10,4.001894e-10,3.317155e-10,9.064415e-11,1.181944e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1376.596,1.570752e-15,1.427519e-18,1.541454e-18,3.933231e-10,9.939567e-9,1.73473e-8,0.000001035464,0.00004896948,9.574782e-10,4.016837e-10,3.330167e-10,9.096198e-11,1.185367e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417.322,1.677014e-16,9.939441e-19,1.170444e-18,2.89657e-10,8.297134e-9,1.193129e-8,8.259174e-7,0.00003258808,9.231682e-10,4.037379e-10,3.342498e-10,9.123702e-11,1.18905e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457.657,9.375468e-19,9.025455e-19,1.052167e-18,2.165974e-10,6.92234e-9,8.137357e-9,6.528318e-7,0.00002177169,8.780801e-10,4.040507e-10,3.352489e-10,9.137283e-11,1.191141e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1497.618,0,8.133416e-19,9.369067e-19,1.637511e-10,5.781353e-9,5.577327e-9,5.077656e-7,0.00001459998,8.275391e-10,4.044753e-10,3.362542e-10,9.144992e-11,1.192691e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1539.82,0,7.269539e-19,8.255088e-19,1.220108e-10,4.768419e-9,3.74252e-9,3.773489e-7,0.000009573787,7.629098e-10,4.043372e-10,3.372996e-10,9.138683e-11,1.192976e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1581.894,0,6.468829e-19,7.222683e-19,9.092064e-11,3.924117e-9,2.533041e-9,2.656084e-7,0.000006286019,6.812322e-10,3.98601e-10,3.379564e-10,9.099213e-11,1.189363e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1623.689,0,5.729067e-19,6.269558e-19,6.797125e-11,3.230565e-9,1.742493e-9,1.636408e-7,0.000004138886,5.912567e-10,3.874034e-10,3.384247e-10,9.024776e-11,1.18037e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665.214,0,5.046066e-19,5.390751e-19,5.086922e-11,2.657101e-9,1.21802e-9,6.964395e-8,0.000002732539,4.971503e-10,3.69047e-10,3.383302e-10,8.905126e-11,1.160415e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1706.481,0,4.500357e-19,4.69169e-19,3.811882e-11,2.184744e-9,8.101391e-10,1.4128e-8,0.000001808706,4.067169e-10,3.451317e-10,3.375047e-10,8.744957e-11,1.123446e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1747.498,0,0,0,2.848871e-11,1.790532e-9,9.031904e-11,9.153034e-11,0.000001200188,3.230864e-10,3.179536e-10,3.361017e-10,8.564056e-11,1.070285e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
